connections,min_ms,avg_ms,max_ms,stddev_ms
777,3.14,3.38,3.57,0.11
778,2.93,3.26,3.51,0.16
779,3.27,3.41,3.61,0.07
780,3.20,3.38,3.65,0.12
781,3.31,3.42,3.71,0.09
782,3.27,3.42,3.63,0.09
783,3.15,3.36,3.68,0.12
784,3.05,3.34,3.62,0.15
785,3.26,3.41,3.67,0.10
786,3.26,3.43,3.74,0.12
787,3.33,3.44,3.63,0.09
788,3.23,3.42,3.62,0.09
789,3.22,3.36,3.62,0.08
790,3.17,3.39,3.82,0.15
791,2.90,3.42,4.10,0.23
792,3.30,3.47,3.63,0.10
793,3.29,3.47,3.61,0.09
794,3.23,3.42,3.72,0.13
795,3.30,3.43,3.60,0.07
796,3.34,3.45,3.59,0.08
797,3.31,3.44,3.63,0.09
798,3.35,3.47,3.66,0.10
799,3.38,3.50,3.67,0.09
800,3.32,3.44,3.65,0.09
801,3.33,3.50,3.80,0.12
802,3.39,3.50,3.68,0.08
803,3.27,3.40,3.64,0.09
804,3.16,3.38,3.58,0.12
805,3.31,3.43,3.83,0.12
806,3.32,3.59,5.03,0.35
807,3.07,3.43,3.81,0.19
808,3.36,3.51,3.69,0.08
809,3.35,3.52,3.66,0.08
810,3.33,3.47,3.71,0.10
811,3.39,3.54,3.77,0.09
812,3.43,3.56,3.82,0.12
813,3.36,3.54,3.80,0.09
814,3.48,3.59,3.72,0.07
815,3.36,3.54,3.74,0.09
816,3.45,3.54,3.67,0.07
817,3.33,3.54,3.76,0.10
818,3.37,3.54,3.73,0.10
819,3.42,3.58,3.75,0.09
820,3.48,3.70,5.21,0.36
821,3.46,3.61,3.78,0.10
822,3.34,3.59,3.94,0.14
823,3.40,3.57,3.72,0.09
824,3.45,3.60,3.96,0.14
825,3.43,3.62,3.87,0.12
826,3.43,3.59,3.82,0.09
827,3.43,3.59,3.85,0.11
828,3.44,3.61,3.88,0.11
829,3.48,3.64,3.82,0.09
830,3.41,3.58,3.93,0.14
831,3.47,3.65,3.93,0.11
832,3.34,3.60,3.81,0.10
833,3.34,3.58,3.84,0.12
834,3.49,3.61,3.72,0.07
835,3.24,3.57,4.29,0.24
836,3.45,3.66,3.87,0.10
837,3.57,3.66,3.80,0.06
838,3.55,3.68,3.84,0.09
839,3.53,3.62,3.77,0.06
840,3.52,3.66,3.91,0.10
841,3.53,3.65,3.79,0.08
842,3.49,3.69,4.02,0.13
843,3.45,3.64,3.75,0.08
844,3.45,3.64,3.93,0.11
845,3.58,3.72,3.98,0.10
846,3.48,3.72,3.91,0.11
847,3.50,3.67,3.87,0.10
848,3.58,3.71,3.90,0.09
849,3.55,3.76,4.58,0.22
850,3.51,3.68,3.92,0.10
851,3.51,3.71,4.03,0.12
852,3.37,3.63,3.94,0.15
853,3.58,3.75,4.00,0.11
854,3.52,3.76,3.88,0.09
855,3.57,3.75,3.96,0.10
856,3.56,3.74,4.01,0.10
857,3.51,3.73,3.99,0.12
858,3.57,3.71,4.01,0.10
859,3.59,3.77,4.32,0.19
860,3.56,3.69,3.94,0.10
861,3.60,3.75,3.95,0.09
862,3.62,3.76,3.93,0.09
863,3.58,3.73,3.91,0.09
864,3.63,3.81,4.58,0.21
865,3.58,3.75,3.93,0.07
866,3.63,3.76,3.89,0.07
867,3.64,3.78,3.91,0.07
868,3.65,3.79,3.93,0.08
869,3.59,3.77,4.00,0.10
870,3.56,3.76,4.01,0.11
871,3.59,3.76,4.06,0.13
872,3.59,3.77,4.08,0.11
873,3.58,3.79,3.98,0.11
874,3.68,3.94,5.20,0.35
875,3.63,3.84,4.14,0.14
876,3.65,3.81,4.03,0.10
877,3.66,3.81,3.95,0.08
878,3.62,3.79,3.99,0.09
879,3.44,3.70,4.19,0.16
880,3.59,3.86,4.15,0.15
881,3.70,3.80,3.95,0.08
882,3.55,3.76,3.96,0.10
883,3.63,3.82,4.21,0.12
884,3.71,3.88,4.03,0.09
885,3.61,3.80,4.01,0.09
886,3.71,3.84,4.04,0.09
887,3.67,3.85,4.12,0.11
888,3.70,3.88,4.07,0.10
889,3.68,3.86,4.03,0.10
890,3.66,3.88,4.11,0.11
891,3.61,3.86,4.05,0.11
892,3.71,3.86,4.09,0.08
893,3.71,3.93,4.85,0.24
894,3.47,3.76,4.07,0.14
895,3.66,3.84,4.26,0.14
896,3.71,3.90,4.11,0.10
897,3.65,3.86,4.15,0.13
898,3.69,3.86,4.12,0.12
899,3.74,3.91,4.09,0.09
900,3.81,3.92,4.13,0.09
901,3.80,3.94,4.10,0.09
902,3.71,3.87,4.14,0.11
903,3.76,3.95,4.27,0.14
904,3.77,3.88,4.12,0.09
905,3.70,3.89,4.09,0.10
906,3.79,3.94,4.34,0.12
907,3.78,3.92,4.29,0.12
908,3.76,3.91,4.21,0.13
909,3.72,3.88,4.14,0.10
910,3.66,3.80,4.16,0.11
911,3.73,3.85,3.94,0.06
912,3.75,3.86,4.01,0.06
913,3.81,3.98,4.23,0.11
914,3.73,3.93,4.33,0.14
915,3.73,3.93,4.17,0.11
916,3.81,3.98,4.24,0.12
917,3.88,3.99,4.27,0.10
918,3.84,4.01,4.21,0.10
919,3.84,3.99,4.21,0.09
920,3.87,3.98,4.12,0.07
921,3.84,4.00,4.31,0.12
922,3.87,4.06,4.95,0.23
923,3.85,4.01,4.17,0.09
924,3.81,4.02,4.21,0.12
925,3.81,4.01,4.59,0.18
926,3.84,4.04,4.31,0.14
927,3.83,4.03,4.31,0.11
928,3.82,4.05,4.42,0.15
929,3.87,3.99,4.32,0.11
930,3.85,4.01,4.26,0.09
931,3.81,4.04,4.37,0.12
932,3.93,4.05,4.51,0.15
933,3.89,4.03,4.29,0.10
934,3.92,4.07,4.33,0.10
935,3.88,3.99,4.26,0.11
936,3.87,4.03,4.19,0.08
937,3.86,4.18,5.42,0.31
938,3.93,4.08,4.38,0.10
939,3.89,4.08,4.30,0.12
940,3.94,4.07,4.34,0.10
941,3.91,4.09,4.35,0.11
942,3.84,4.08,4.44,0.14
943,3.85,4.09,4.37,0.14
944,3.92,4.07,4.40,0.11
945,3.90,4.06,4.28,0.10
946,3.96,4.11,4.36,0.10
947,3.97,4.14,4.35,0.11
948,3.96,4.12,4.35,0.11
949,3.96,4.11,4.29,0.09
950,3.97,4.11,4.38,0.11
951,4.03,4.18,4.47,0.11
952,3.99,4.17,5.34,0.29
953,3.99,4.15,4.39,0.10
954,3.98,4.13,4.28,0.08
955,3.90,4.15,4.40,0.15
956,4.00,4.18,4.51,0.12
957,3.98,4.14,4.40,0.10
958,4.00,4.14,4.36,0.09
959,4.01,4.17,4.42,0.10
960,3.96,4.14,4.36,0.11
961,3.93,4.11,4.33,0.10
962,3.88,4.11,4.42,0.12
963,4.10,4.20,4.44,0.10
964,4.03,4.19,4.38,0.10
965,3.96,4.14,4.43,0.12
966,3.98,4.22,5.06,0.21
967,4.04,4.20,4.47,0.12
968,4.07,4.21,4.75,0.15
969,3.80,4.14,4.56,0.18
970,4.03,4.19,4.44,0.11
971,4.00,4.21,4.42,0.12
972,4.04,4.21,4.63,0.14
973,4.05,4.22,4.44,0.11
974,4.04,4.22,4.44,0.10
975,4.06,4.22,4.47,0.10
976,4.04,4.24,4.75,0.17
977,3.97,4.22,4.42,0.11
978,4.10,4.24,4.64,0.14
979,4.08,4.26,4.61,0.14
980,4.06,4.26,4.51,0.12
981,4.09,4.26,4.78,0.15
982,4.11,4.30,4.55,0.11
983,4.04,4.20,4.41,0.11
984,4.10,4.28,4.56,0.12
985,4.16,4.31,4.43,0.08
986,4.01,4.22,4.49,0.10
987,4.13,4.27,4.49,0.09
988,4.16,4.34,4.60,0.13
989,3.96,4.24,4.59,0.18
990,4.04,4.18,4.40,0.10
991,4.07,4.26,4.51,0.10
992,3.86,4.16,4.51,0.16
993,4.07,4.17,4.31,0.07
994,4.00,4.21,4.55,0.14
995,4.08,4.41,6.86,0.61
996,3.99,4.19,4.36,0.09
997,4.10,4.21,4.38,0.08
998,3.96,4.19,4.48,0.13
999,3.94,4.16,4.44,0.12
1000,4.04,4.23,4.51,0.12
1001,4.05,4.23,4.35,0.08
1002,4.11,4.28,4.49,0.11
1003,4.08,4.24,4.49,0.12
1004,4.14,4.29,4.55,0.11
1005,4.05,4.25,4.48,0.11
1006,4.13,4.26,4.42,0.09
1007,4.13,4.23,4.36,0.06
1008,4.00,4.23,4.55,0.12
1009,4.07,4.24,4.52,0.10
1010,4.12,4.28,4.62,0.13
1011,4.14,4.27,4.49,0.09
1012,4.02,4.29,4.61,0.18
1013,3.96,4.24,4.50,0.15
1014,4.18,4.36,4.71,0.13
1015,4.15,4.37,4.75,0.14
1016,4.28,4.44,4.98,0.19
1017,4.22,4.37,4.64,0.12
1018,4.21,4.38,4.67,0.12
1019,4.27,4.43,4.75,0.11
1020,4.25,4.44,4.58,0.08
1021,4.26,4.42,4.56,0.10
1022,4.19,4.38,4.67,0.13
1023,4.29,4.45,4.93,0.14
1024,4.20,4.42,4.72,0.13
1025,4.26,4.44,4.70,0.10
1026,4.14,4.36,4.68,0.14
1027,4.29,4.43,4.65,0.10
1028,4.25,4.41,4.58,0.10
1029,4.32,4.45,4.69,0.09
1030,4.28,4.42,4.60,0.10
1031,4.27,4.48,4.70,0.11
1032,4.30,4.44,4.70,0.11
1033,4.29,4.47,4.75,0.14
1034,4.19,4.44,4.78,0.15
1035,4.31,4.42,4.67,0.08
1036,4.09,4.39,4.73,0.18
1037,4.19,4.37,4.65,0.12
1038,4.07,4.34,4.55,0.12
1039,4.23,4.40,4.71,0.14
1040,4.24,4.46,4.66,0.11
1041,4.23,4.53,4.86,0.16
1042,4.33,4.47,4.75,0.11
1043,4.30,4.50,4.80,0.15
1044,4.32,4.88,8.54,1.04
1045,4.36,4.52,4.73,0.10
1046,4.36,4.53,5.14,0.19
1047,4.26,4.46,4.76,0.12
1048,4.11,4.44,4.78,0.17
1049,4.16,4.46,4.86,0.20
1050,4.34,4.52,4.93,0.13
1051,4.37,4.51,4.72,0.10
1052,4.41,4.59,4.85,0.12
1053,4.25,4.45,4.69,0.12
1054,4.39,4.56,5.03,0.14
1055,4.31,4.54,4.87,0.13
1056,4.43,4.62,5.01,0.15
1057,4.40,4.58,4.85,0.12
1058,4.39,4.53,4.96,0.13
1059,4.37,4.55,4.93,0.13
1060,4.35,4.56,4.84,0.14
1061,4.41,4.60,4.94,0.13
1062,4.46,4.61,4.85,0.10
1063,4.42,4.61,4.96,0.12
1064,4.46,4.63,4.83,0.11
1065,4.50,4.62,4.94,0.11
1066,4.43,4.62,4.80,0.09
1067,4.37,4.58,4.91,0.12
1068,4.45,4.65,5.10,0.16
1069,4.42,4.66,4.95,0.14
1070,4.46,4.94,7.21,0.69
1071,3.69,4.65,5.62,0.33
1072,4.36,4.62,4.87,0.13
1073,4.43,4.59,4.82,0.08
1074,4.38,4.63,4.88,0.14
1075,4.41,4.56,4.76,0.09
1076,4.43,4.64,4.94,0.14
1077,4.41,4.61,4.85,0.12
1078,4.31,4.54,5.00,0.18
1079,4.42,4.84,5.73,0.41
1080,4.48,4.64,4.81,0.10
1081,4.53,4.69,5.02,0.11
1082,4.54,4.69,5.02,0.13
1083,4.53,4.69,5.11,0.15
1084,4.36,4.60,4.97,0.13
1085,4.56,4.66,4.86,0.08
1086,4.50,4.70,4.95,0.12
1087,4.54,4.83,5.38,0.23
1088,4.37,4.61,5.11,0.17
1089,4.55,4.68,4.89,0.09
1090,4.52,4.72,5.07,0.13
1091,4.39,4.71,4.97,0.14
1092,4.48,4.66,5.09,0.16
1093,4.52,4.74,4.99,0.11
1094,4.56,4.73,5.11,0.12
1095,4.63,4.76,5.16,0.14
1096,4.54,4.72,4.97,0.11
1097,4.37,4.73,5.38,0.23
1098,4.57,4.72,4.90,0.08
1099,4.60,4.75,5.18,0.14
1100,4.56,4.80,5.28,0.20
1101,4.62,4.78,4.96,0.09
1102,4.54,4.75,4.96,0.11
1103,4.49,4.77,5.00,0.14
1104,4.57,4.76,5.18,0.14
1105,4.29,4.81,5.61,0.32
1106,4.62,4.80,5.08,0.12
1107,4.56,4.76,5.00,0.09
1108,4.62,4.78,5.01,0.09
1109,4.60,4.78,5.03,0.12
1110,4.63,4.84,5.21,0.15
1111,4.64,4.82,5.00,0.09
1112,4.61,4.82,5.08,0.13
1113,4.65,4.85,5.32,0.16
1114,4.68,4.82,5.01,0.09
1115,4.66,4.76,5.04,0.10
1116,4.64,4.81,5.16,0.12
1117,4.65,4.83,5.10,0.12
1118,4.62,4.88,5.13,0.13
1119,4.65,4.79,5.05,0.12
1120,4.70,4.90,5.45,0.18
1121,4.65,4.86,5.14,0.12
1122,4.63,4.85,5.20,0.14
1123,4.59,4.83,5.03,0.10
1124,4.67,4.85,5.25,0.16
1125,4.63,4.79,5.10,0.12
1126,4.74,4.86,5.08,0.10
1127,4.64,4.82,5.09,0.13
1128,4.66,4.90,5.16,0.12
1129,4.70,4.89,5.29,0.13
1130,4.68,4.88,5.45,0.18
1131,4.69,4.87,5.25,0.13
1132,4.72,4.85,5.10,0.10
1133,4.69,4.88,5.36,0.15
1134,4.75,4.86,5.09,0.11
1135,4.65,4.90,5.20,0.14
1136,4.76,4.87,5.01,0.08
1137,4.69,4.82,5.01,0.09
1138,4.46,4.78,4.97,0.13
1139,4.69,4.91,5.09,0.11
1140,4.69,4.90,5.12,0.12
1141,4.61,4.84,5.25,0.17
1142,4.74,4.92,5.24,0.14
1143,4.74,4.92,5.29,0.16
1144,4.76,4.94,5.44,0.16
1145,4.68,4.86,5.21,0.12
1146,4.34,4.80,5.39,0.22
1147,4.76,4.94,5.16,0.10
1148,4.72,5.75,14.46,2.42
1149,4.66,4.92,5.08,0.10
1150,4.68,4.87,5.30,0.15
1151,4.68,4.84,5.27,0.15
1152,4.66,4.92,5.15,0.14
1153,4.76,4.96,5.19,0.13
1154,4.82,6.92,25.01,5.98
1155,4.69,4.97,5.22,0.14
1156,4.84,4.99,5.24,0.11
1157,4.79,4.98,5.23,0.12
1158,4.80,5.01,5.19,0.10
1159,4.79,5.05,5.33,0.13
1160,4.77,4.95,5.22,0.12
1161,4.72,4.99,5.25,0.12
1162,4.80,5.06,5.47,0.15
1163,4.77,5.02,5.22,0.12
1164,4.88,5.08,5.38,0.14
1165,4.78,4.98,5.34,0.13
1166,4.86,5.09,5.57,0.18
1167,4.84,5.03,5.16,0.10
1168,4.90,5.07,5.32,0.11
1169,4.89,5.10,5.78,0.23
1170,4.80,5.06,5.45,0.17
1171,4.86,5.06,5.25,0.12
1172,4.93,5.04,5.23,0.09
1173,4.81,5.04,5.34,0.13
1174,4.89,5.04,5.29,0.11
1175,4.92,5.09,5.43,0.12
1176,4.88,5.13,5.62,0.19
1177,4.95,5.08,5.30,0.11
1178,4.86,5.03,5.23,0.09
1179,4.78,5.07,5.55,0.18
1180,4.93,5.11,5.68,0.18
1181,4.91,5.05,5.29,0.12
1182,4.79,5.13,5.39,0.14
1183,4.81,5.09,5.50,0.14
1184,4.91,5.06,5.47,0.15
1185,4.89,5.04,5.36,0.11
1186,4.92,5.08,5.25,0.11
1187,4.98,5.11,5.29,0.09
1188,4.90,5.10,5.47,0.14
1189,4.93,5.13,5.50,0.14
1190,4.93,5.15,5.43,0.12
1191,5.01,5.14,5.47,0.12
1192,4.85,5.08,5.45,0.13
1193,4.91,5.12,5.41,0.12
1194,4.93,5.08,5.32,0.10
1195,5.02,5.15,5.55,0.13
1196,5.01,5.18,5.50,0.13
1197,4.93,5.15,5.37,0.11
1198,5.01,5.21,5.49,0.13
1199,5.04,5.19,5.37,0.10
1200,4.93,5.17,5.46,0.14
1201,4.99,5.15,5.38,0.12
1202,4.89,5.15,5.49,0.15
1203,5.08,5.26,5.62,0.14
1204,4.98,5.20,5.38,0.13
1205,5.08,5.23,5.51,0.11
1206,4.99,5.18,5.34,0.11
1207,5.00,5.21,5.40,0.10
1208,4.99,5.21,5.76,0.21
1209,4.99,5.20,5.41,0.11
1210,4.98,5.13,5.43,0.12
1211,5.13,5.26,5.55,0.11
1212,5.04,5.24,5.57,0.12
1213,4.98,5.18,5.45,0.12
1214,5.05,5.33,6.75,0.35
1215,5.00,5.26,5.68,0.16
1216,4.89,5.19,5.53,0.17
1217,4.83,5.21,5.53,0.16
1218,5.08,5.24,5.67,0.15
1219,5.02,5.18,5.43,0.10
1220,5.06,5.21,5.46,0.11
1221,5.07,5.25,5.54,0.12
1222,4.99,5.21,5.54,0.13
1223,5.01,5.27,5.52,0.13
1224,5.06,5.29,5.53,0.13
1225,5.07,5.27,5.58,0.12
1226,5.03,5.24,5.60,0.14
1227,5.10,5.34,5.77,0.19
1228,5.07,5.25,5.45,0.09
1229,5.05,5.35,6.23,0.26
1230,5.14,5.37,5.69,0.16
1231,5.16,5.34,5.66,0.14
1232,5.03,5.25,5.53,0.14
1233,5.18,5.32,5.64,0.14
1234,5.11,5.31,5.61,0.13
1235,5.10,5.33,5.91,0.20
1236,5.17,5.34,5.58,0.11
1237,4.92,5.30,5.67,0.18
1238,5.16,5.37,5.61,0.13
1239,5.14,5.36,5.55,0.12
1240,5.00,5.33,5.48,0.10
1241,5.06,5.32,5.90,0.22
1242,5.14,5.32,5.71,0.15
1243,5.20,5.35,5.88,0.15
1244,4.90,5.91,6.69,0.48
1245,6.09,6.27,6.99,0.25
1246,5.02,5.62,6.44,0.45
1247,5.16,5.40,5.72,0.16
1248,5.19,5.66,6.23,0.30
1249,5.64,6.02,6.34,0.19
1250,5.14,5.80,6.37,0.36
1251,5.00,5.24,5.48,0.13
1252,5.12,5.33,5.75,0.14
1253,5.10,5.30,5.63,0.13
1254,4.99,5.20,5.38,0.09
1255,5.23,5.74,6.55,0.41
1256,5.90,6.14,6.43,0.13
1257,5.23,5.71,6.47,0.40
1258,5.10,5.50,6.63,0.32
1259,5.28,5.46,5.74,0.13
1260,5.26,5.40,5.69,0.13
1261,5.21,5.42,5.72,0.13
1262,5.31,5.44,5.77,0.11
1263,5.26,5.50,5.73,0.14
1264,5.25,5.45,5.80,0.15
1265,5.31,5.49,5.72,0.11
1266,5.26,5.46,5.83,0.16
1267,5.19,5.44,5.77,0.12
1268,5.22,5.43,5.89,0.18
1269,5.27,5.53,6.08,0.20
1270,5.33,5.48,5.81,0.14
1271,5.27,5.48,6.01,0.18
1272,5.33,5.52,5.80,0.12
1273,5.01,5.48,6.37,0.28
1274,5.23,5.49,5.90,0.18
1275,5.25,5.50,5.75,0.14
1276,5.27,5.48,5.72,0.12
1277,5.29,5.48,5.75,0.12
1278,5.26,5.48,6.01,0.16
1279,5.37,5.54,5.80,0.12
1280,5.25,5.49,5.83,0.16
1281,5.29,5.56,5.85,0.15
1282,5.36,5.62,6.22,0.21
1283,5.24,5.47,5.79,0.13
1284,5.32,5.54,6.00,0.20
1285,5.15,5.40,5.56,0.10
1286,5.27,5.46,5.81,0.16
1287,5.07,5.51,6.15,0.25
1288,5.38,5.53,5.78,0.11
1289,5.36,5.61,5.95,0.16
1290,5.36,5.59,5.89,0.11
1291,5.32,5.55,5.97,0.16
1292,5.41,5.61,6.24,0.19
1293,5.39,5.60,6.03,0.16
1294,5.45,5.54,5.78,0.10
1295,5.42,5.62,5.82,0.11
1296,5.41,5.59,5.95,0.13
1297,5.49,5.63,5.96,0.13
1298,5.39,5.57,5.82,0.12
1299,5.43,5.62,5.88,0.11
1300,5.41,5.66,6.18,0.21
1301,5.38,5.58,5.77,0.10
1302,5.31,5.55,5.78,0.12
1303,5.37,5.58,5.84,0.12
1304,5.49,5.64,5.87,0.12
1305,5.50,5.69,6.09,0.16
1306,5.43,5.62,5.86,0.11
1307,5.43,5.61,5.96,0.12
1308,5.39,5.64,5.87,0.14
1309,5.40,5.60,5.86,0.14
1310,5.41,5.61,5.80,0.11
1311,5.45,5.68,6.07,0.14
1312,5.42,5.67,5.92,0.14
1313,5.46,5.64,5.84,0.12
1314,5.35,5.69,5.95,0.14
1315,5.47,5.68,5.96,0.14
1316,5.49,5.69,6.04,0.14
1317,5.51,5.74,6.90,0.29
1318,5.42,5.71,5.96,0.12
1319,5.30,5.64,5.88,0.13
1320,5.52,5.73,6.14,0.15
1321,5.49,5.75,6.08,0.18
1322,5.42,5.64,5.98,0.13
1323,5.57,5.74,5.92,0.09
1324,5.55,5.70,6.06,0.13
1325,5.54,5.75,6.02,0.14
1326,5.46,5.73,6.06,0.13
1327,5.44,5.78,6.27,0.20
1328,5.47,5.79,6.22,0.20
1329,5.55,5.72,6.03,0.10
1330,5.44,5.69,6.06,0.15
1331,5.61,5.82,6.57,0.21
1332,5.59,5.73,6.13,0.13
1333,5.58,5.78,6.12,0.13
1334,5.53,6.26,9.64,1.15
1335,5.59,5.82,6.11,0.15
1336,5.47,5.74,6.05,0.14
1337,5.58,5.82,6.10,0.15
1338,5.52,5.71,6.08,0.13
1339,5.66,5.82,6.09,0.11
1340,5.61,5.77,6.17,0.15
1341,5.54,5.75,6.06,0.13
1342,5.59,5.81,6.02,0.14
1343,5.36,5.75,6.52,0.26
1344,5.57,5.76,5.94,0.09
1345,5.52,5.75,6.15,0.17
1346,5.51,5.71,6.13,0.15
1347,5.51,5.66,6.03,0.14
1348,5.46,5.64,5.85,0.10
1349,5.50,5.64,5.93,0.12
1350,5.50,5.73,6.00,0.13
1351,5.62,5.81,6.28,0.17
1352,5.62,5.82,6.08,0.14
1353,5.57,5.80,6.26,0.17
1354,5.68,5.88,6.29,0.17
1355,5.65,5.84,6.12,0.13
1356,5.68,5.85,6.04,0.10
1357,5.59,5.82,6.24,0.15
1358,5.63,5.91,6.21,0.16
1359,5.65,5.83,6.11,0.13
1360,5.70,5.90,7.18,0.32
1361,5.52,5.84,6.26,0.16
1362,5.61,5.89,6.58,0.23
1363,5.62,5.90,6.15,0.14
1364,5.39,5.85,6.62,0.25
1365,5.70,5.86,6.17,0.10
1366,5.68,5.89,6.24,0.14
1367,5.73,5.96,6.71,0.23
1368,5.69,5.94,6.22,0.15
1369,5.60,5.84,6.23,0.15
1370,5.66,5.97,6.47,0.23
1371,5.69,5.84,6.13,0.13
1372,5.66,5.90,6.24,0.14
1373,5.76,5.90,6.16,0.12
1374,5.72,5.95,6.34,0.14
1375,5.57,5.94,6.74,0.26
1376,5.67,5.89,6.19,0.15
1377,5.69,5.93,6.47,0.19
1378,5.66,5.93,6.14,0.14
1379,5.63,5.79,6.16,0.14
1380,5.61,5.90,6.40,0.18
1381,5.70,5.93,6.44,0.17
1382,5.78,5.94,6.18,0.12
1383,5.70,5.95,6.26,0.15
1384,5.78,5.99,6.32,0.16
1385,5.79,5.93,6.13,0.12
1386,5.85,6.01,6.41,0.13
1387,5.82,6.00,6.32,0.15
1388,5.75,6.01,6.51,0.19
1389,5.76,6.00,6.18,0.12
1390,5.75,6.04,6.62,0.20
1391,5.85,6.61,6.83,0.20
1392,5.78,6.66,7.11,0.25
1393,5.80,6.01,6.48,0.16
1394,5.74,6.04,6.45,0.17
1395,5.81,6.00,6.63,0.21
1396,5.86,6.01,6.29,0.14
1397,5.76,6.08,6.64,0.19
1398,5.65,5.99,6.41,0.18
1399,5.85,6.05,6.21,0.12
1400,5.60,6.03,6.49,0.20
1401,5.75,5.96,6.39,0.16
1402,5.81,6.10,6.41,0.19
1403,5.78,6.01,6.29,0.13
1404,5.50,6.12,7.49,0.36
1405,5.37,6.01,6.29,0.18
1406,5.84,6.05,6.30,0.13
1407,5.77,6.03,6.40,0.16
1408,5.64,6.05,6.39,0.17
1409,5.80,6.07,6.28,0.12
1410,5.69,6.01,6.42,0.20
1411,5.86,6.11,6.40,0.16
1412,5.85,6.09,6.32,0.12
1413,5.87,6.04,6.33,0.12
1414,5.87,6.06,6.49,0.15
1415,5.89,6.06,6.29,0.11
1416,5.92,6.07,6.38,0.13
1417,5.85,6.07,6.52,0.17
1418,5.85,6.11,6.52,0.17
1419,5.85,6.14,7.02,0.24
1420,5.95,6.12,6.35,0.11
1421,5.92,6.14,6.79,0.21
1422,5.95,6.09,6.37,0.13
1423,5.86,6.12,6.74,0.21
1424,5.87,6.17,6.49,0.18
1425,5.79,6.11,6.51,0.17
1426,5.85,6.02,6.21,0.11
1427,5.77,6.05,6.38,0.15
1428,5.98,6.19,6.46,0.15
1429,6.06,6.20,6.38,0.10
1430,5.95,6.15,6.45,0.15
1431,5.90,6.14,6.56,0.14
1432,5.99,6.24,6.63,0.17
1433,5.95,6.22,6.81,0.22
1434,5.61,6.08,6.92,0.33
1435,5.86,6.06,6.38,0.14
1436,5.80,6.04,6.30,0.14
1437,5.91,6.10,6.38,0.14
1438,5.84,6.03,6.36,0.14
1439,5.68,6.01,6.20,0.15
1440,5.98,6.18,6.42,0.12
1441,6.02,6.22,6.70,0.19
1442,5.95,6.21,6.62,0.18
1443,5.84,6.13,6.45,0.13
1444,6.02,6.20,6.53,0.14
1445,5.93,6.19,6.43,0.10
1446,5.99,6.24,6.57,0.16
1447,6.10,6.26,6.61,0.14
1448,5.65,6.20,6.72,0.26
1449,5.96,6.21,6.55,0.14
1450,5.95,6.24,6.58,0.16
1451,6.03,6.26,6.73,0.17
1452,6.06,6.31,6.76,0.16
1453,5.84,6.29,6.81,0.23
1454,6.10,6.36,7.06,0.27
1455,6.05,6.31,6.95,0.24
1456,6.08,6.29,6.51,0.12
1457,6.08,6.29,6.58,0.14
1458,5.96,6.34,6.69,0.17
1459,6.06,6.30,6.76,0.16
1460,6.14,6.42,7.16,0.29
1461,6.05,6.32,6.72,0.16
1462,6.04,6.26,6.62,0.15
1463,5.75,6.17,7.98,0.45
1464,6.14,6.35,6.77,0.16
1465,6.05,6.30,6.79,0.19
1466,5.36,6.37,7.29,0.34
1467,6.13,6.37,6.67,0.13
1468,6.13,6.36,6.70,0.15
1469,6.15,6.33,6.53,0.10
1470,6.12,6.33,6.62,0.17
1471,6.16,6.34,6.78,0.19
1472,6.15,6.41,6.70,0.15
1473,6.13,6.34,6.65,0.13
1474,6.17,6.35,6.51,0.10
1475,6.03,6.33,6.64,0.16
1476,6.13,6.39,6.73,0.17
1477,6.13,6.86,11.15,1.33
1478,6.15,6.36,6.83,0.16
1479,6.17,6.43,6.79,0.17
1480,6.13,6.35,6.83,0.16
1481,6.11,6.30,6.72,0.15
1482,6.12,6.36,6.76,0.18
1483,6.24,6.43,6.74,0.11
1484,6.22,6.40,6.67,0.11
1485,6.29,6.44,6.64,0.12
1486,6.22,6.44,6.87,0.18
1487,6.17,6.32,6.56,0.10
1488,6.25,6.42,6.73,0.13
1489,6.20,6.45,6.80,0.15
1490,6.18,6.40,6.72,0.14
1491,6.14,6.40,6.99,0.21
1492,6.24,6.45,7.38,0.29
1493,6.18,6.46,6.80,0.17
1494,6.19,6.45,6.86,0.19
1495,6.18,6.48,6.71,0.14
1496,6.25,6.49,7.00,0.21
1497,6.28,6.43,6.69,0.12
1498,6.22,6.45,6.83,0.16
1499,6.23,6.50,6.85,0.16
1500,6.21,6.49,6.87,0.15
1501,6.29,6.51,6.74,0.14
1502,6.23,6.46,7.04,0.18
1503,6.20,6.49,7.21,0.24
1504,6.11,6.54,6.99,0.21
1505,6.24,6.45,6.86,0.17
1506,6.27,6.46,6.76,0.13
1507,6.33,6.50,6.80,0.15
1508,6.24,6.55,6.83,0.14
1509,6.29,6.52,6.81,0.15
1510,6.26,6.53,7.12,0.23
1511,6.31,6.52,6.85,0.13
1512,6.28,6.49,6.80,0.15
1513,6.32,6.58,6.88,0.18
1514,6.28,6.51,6.75,0.13
1515,6.30,6.54,6.88,0.17
1516,6.29,6.44,6.70,0.11
1517,6.33,6.53,6.87,0.13
1518,6.19,6.48,7.09,0.21
1519,5.96,6.49,7.28,0.26
1520,6.26,6.44,6.74,0.12
1521,6.12,6.34,6.64,0.13
1522,6.14,6.34,6.69,0.16
1523,6.42,6.57,6.83,0.12
